course_name,favorable_running_style,course_features,favorable_frame,notes,standard_time_new,standard_time_1_2,standard_time_3,wind_bias,notable_sires,notable_bm_sires,distance_change_bias,surface_change_bias,class_change_bias
函館芝1200m,時計の掛かる条件を好む馬、距離短縮馬、ダート実績馬,路盤に水分を多く含みやすい洋芝が採用された競馬場で、コースレイアウトも小回りで起伏の多い舞台。函館スプリントコースはスタートして登り坂を迎え、馬場とコースの両面でパワーが求められる。,特になし（内外の有利不利は目立っていなかった）,適性予想で的中した例として紹介された、2025年6月28日開催の青函Sについて記述。,新馬: 1:10.1 / 未勝利: 1:09.9,1勝: 1:09.2 / 2勝: 1:08.1,3勝: 1:08.8 / 重賞OP: 1:08.8,,"ロードカナロア(勝10.4%/複27.6%), モーリス(勝12.4%/複23.6%), ダイワメジャー(勝9.9%/複20.8%), ビッグアーサー(勝7.4%/複34.0%), ミッキーアイル(勝11.3%/複37.1%), エピファネイア(勝6.4%/複17.9%), リオンディーズ(勝7.9%/複30.2%), ジョーカプチーノ(勝14.3%/複34.3%), アドマイヤマーズ(勝29.4%/複35.3%), キンシャサノキセキ(勝5.8%/複29.0%), ドレフォン(勝7.5%/複28.3%), ジャスタウェイ(勝9.8%/複17.1%), キズナ(勝10.0%/複20.0%), タワーオブロンドン(勝11.8%/複26.5%), ファインニードル(勝12.1%/複36.4%), キタサンブラック(勝13.3%/複40.0%), トーセンラー(勝13.8%/複24.1%), スワーヴリチャード(勝20.0%/複50.0%), ハービンジャー(勝7.3%/複22.0%), アドマイヤムーン(勝7.5%/複15.0%)","キングカメハメハ(勝11.0%/複24.8%), ディープインパクト(勝7.7%/複24.5%), サクラバクシンオー(勝11.1%/複26.3%), ダイワメジャー(勝8.4%/複24.1%), タイキシャトル(勝18.9%/複32.4%), クロフネ(勝6.8%/複20.5%), ハーツクライ(勝10.7%/複28.6%), フレンチデピュティ(勝11.3%/複20.8%), マンハッタンカフェ(勝13.9%/複30.6%), ゼンノロブロイ(勝6.9%/複19.0%), サンデーサイレンス(勝9.5%/複19.0%), ロードカナロア(勝12.5%/複34.4%), シンボリクリスエス(勝6.2%/複18.8%), フジキセキ(勝6.5%/複28.3%), ネオユニヴァース(勝6.7%/複13.3%), アドマイヤムーン(勝7.5%/複20.0%), ステイゴールド(勝10.3%/複27.6%), ストーミングホーム(勝13.0%/複39.1%), Galileo(勝16.7%/複44.4%), ヨハネスブルグ(勝16.7%/複38.9%)",100m-200m延長(勝5.2%/複13.9%) / 距離同距離(勝7.2%/複23.0%) / 100m-200m短縮(勝9.8%/複28.9%) / 300m-400m短縮(勝10.9%/複21.1%) / 500m+短縮(勝5.2%/複13.8%),ダ→芝(勝5.9%/複12.9%) / ダ→芝(勝4.8%/複14.3%),昇級(勝10.3%/複30.7%) / 降級(勝32.6%/複52.2%) / 昇級(勝6.2%/複31.2%) / 降級(勝33.3%/複55.6%)
函館競馬場 (Hakodate Racecourse),小回り巧者、立ち回り性能の高い馬が有利。直線向かい風（南東）では先行有利、直線追い風（北西）では差し有利。,平均クッション値は7.5。小回りコースで、体力とパワーが要求される。特に2600mのような長距離や、スタートが上り坂となる1400mのような短距離では、体力や持続力が重要。ダノンバラード産駒、体力・パワーに優れたキタサンブラック産駒やハービンジャー産駒が好成績。2600mではステイゴールド系のオルフェーヴル産駒も注目。短距離・マイルではロードカナロア産駒、モーリス産駒、ミッキーアイル産駒、体力寄りのビッグアーサー産駒（スプリント血統でも）が好相性。ダートコースはパワーの要求値が高く、札幌と比較して小回りのため、立ち回り性能がより重要。キタサンブラック産駒やキンシャサノキセキ産駒など、ダートでも走れるパワー血統が強い傾向がある。,枠順の有利不利は札幌とは異なるため注意が必要だが、具体的な有利枠は明記されていない。,同じ北海道開催である札幌競馬場とはコース形態、適性、バイアスが異なり、特にダートでは枠順や脚質の有利不利に変化があるため注意が必要。,,,,,,,距離同距離(勝10.6%/複29.7%) / 100m-200m短縮(勝7.7%/複24.3%) / 300m-400m短縮(勝7.1%/複21.4%) / 500m+短縮(勝3.0%/複16.4%),芝→ダ(勝4.8%/複17.1%) / 芝→ダ(勝5.3%/複5.3%),昇級(勝13.3%/複30.0%) / 昇級(勝40.0%/複40.0%)
函館競馬場,先行（機動力、パワー、持続力が必要）,直線距離262.1mのJRA最短小回りコース。コーナーが急で道中起伏のあるタフな洋芝。札幌と異なりスピードや持続力よりも立ち回り性能、機動力、パワーが求められる。寒さに強い洋芝で、水分量が多くクッション値が低い。,内枠（開催前半やコース替わり初週に特に有利）,時計が掛かり始めると内先行有利が弱まるため、時計や天候を加味した予想が重要。水捌け改善用の暗渠管が設置されておらず、札幌以上に雨の影響を受けやすい。ディープ系からは、パワー豊富なキズナ産駒が適性あり。,,,,,,,距離同距離(勝10.6%/複29.7%) / 100m-200m短縮(勝7.7%/複24.3%) / 300m-400m短縮(勝7.1%/複21.4%) / 500m+短縮(勝3.0%/複16.4%),芝→ダ(勝4.8%/複17.1%) / 芝→ダ(勝5.3%/複5.3%),昇級(勝13.3%/複30.0%) / 昇級(勝40.0%/複40.0%)
函館芝1000m,,,,,新馬: 0:57.3,-,-,,-,-,-,-,-
函館芝1800m,,,,,新馬: 1:51.2 / 未勝利: 1:49.2,1勝: 1:48.4 / 2勝: 1:48.2,3勝: 1:47.8 / 重賞OP: 1:47.3,,"ハービンジャー(勝14.8%/複25.9%), キズナ(勝17.2%/複39.7%), ディープインパクト(勝11.1%/複31.5%), モーリス(勝14.0%/複25.6%), ロードカナロア(勝12.8%/複41.0%), エピファネイア(勝5.4%/複24.3%), ゴールドシップ(勝5.5%/複20.0%), ドゥラメンテ(勝7.5%/複22.5%), シルバーステート(勝10.3%/複24.1%), キタサンブラック(勝10.7%/複32.1%), リオンディーズ(勝12.5%/複33.3%), オルフェーヴル(勝13.0%/複26.1%), サトノダイヤモンド(勝17.6%/複41.2%), ルーラーシップ(勝4.7%/複16.3%), サトノクラウン(勝8.0%/複20.0%), ジャスタウェイ(勝10.5%/複31.6%), レイデオロ(勝13.3%/複20.0%), ブラックタイド(勝14.3%/複28.6%)","ディープインパクト(勝10.1%/複23.9%), キングカメハメハ(勝8.9%/複27.8%), マンハッタンカフェ(勝22.6%/複29.0%), ハーツクライ(勝13.2%/複23.7%), ダイワメジャー(勝14.8%/複29.6%), ヴィクトワールピサ(勝30.0%/複50.0%), クロフネ(勝5.0%/複17.5%), タイキシャトル(勝10.0%/複35.0%), ロージズインメイ(勝10.5%/複47.4%), アグネスタキオン(勝2.9%/複26.5%), ステイゴールド(勝3.2%/複19.4%)",500m+延長(勝3.0%/複13.6%) / 300m-400m延長(勝0.0%/複6.4%) / 100m-200m延長(勝12.2%/複24.3%) / 距離同距離(勝8.9%/複25.1%) / 100m-200m短縮(勝5.1%/複24.2%) / 300m-400m短縮(勝0.0%/複12.5%) / 500m+短縮(勝0.0%/複11.1%),ダ→芝(勝0.9%/複10.3%) / ダ→芝(勝0.0%/複7.7%),昇級(勝12.7%/複29.6%) / 降級(勝19.4%/複52.8%) / 昇級(勝16.7%/複16.7%)
函館芝2000m,,,,,新馬: 2:03.1 / 未勝利: 2:01.8,1勝: 2:01.9 / 2勝: 2:00.3,3勝: 2:00.7 / 重賞OP: 2:00.3,,"ハービンジャー(勝12.5%/複26.6%), エピファネイア(勝15.4%/複41.0%), ハーツクライ(勝9.8%/複27.5%), キズナ(勝13.5%/複29.7%), ダノンバラード(勝15.0%/複45.0%), レイデオロ(勝16.7%/複33.3%), ヴィクトワールピサ(勝17.6%/複17.6%), ノヴェリスト(勝17.6%/複35.3%), ゴールドシップ(勝4.1%/複26.5%), オルフェーヴル(勝8.0%/複20.0%), モーリス(勝8.0%/複28.0%), キングカメハメハ(勝8.7%/複30.4%), ジャスタウェイ(勝10.0%/複25.0%), キタサンブラック(勝10.5%/複52.6%), リアルスティール(勝14.3%/複21.4%), ルーラーシップ(勝2.2%/複15.6%), ドゥラメンテ(勝3.7%/複22.2%)","ディープインパクト(勝6.7%/複30.3%), キングカメハメハ(勝9.8%/複31.4%), マンハッタンカフェ(勝26.7%/複40.0%), サンデーサイレンス(勝9.7%/複22.6%), ステイゴールド(勝13.0%/複21.7%), フジキセキ(勝21.4%/複42.9%), クロフネ(勝6.9%/複17.2%), アグネスタキオン(勝8.0%/複24.0%), シンボリクリスエス(勝9.5%/複23.8%), ハーツクライ(勝9.5%/複9.5%), ダイワメジャー(勝5.0%/複25.0%), ジャングルポケット(勝5.3%/複15.8%), アドマイヤムーン(勝7.7%/複15.4%), サクラバクシンオー(勝8.3%/複16.7%)",500m+延長(勝0.0%/複0.0%) / 300m-400m延長(勝10.5%/複22.8%) / 100m-200m延長(勝5.8%/複20.8%) / 距離同距離(勝9.6%/複27.0%) / 100m-200m短縮(勝3.8%/複22.6%) / 300m-400m短縮(勝7.9%/複15.8%) / 500m+短縮(勝7.3%/複20.0%),ダ→芝(勝3.4%/複9.2%) / ダ→芝(勝0.0%/複0.0%),昇級(勝15.5%/複37.9%) / 降級(勝13.3%/複53.3%) / 昇級(勝16.7%/複16.7%) / 降級(勝16.7%/複16.7%)
函館芝2600m,,,,,未勝利: 2:42.3,1勝: 2:42.2 / 2勝: 2:43.0,重賞OP: 2:39.8,,"ディープインパクト(勝20.8%/複29.2%), キズナ(勝33.3%/複46.7%), ハーツクライ(勝9.1%/複24.2%), ハービンジャー(勝6.5%/複32.3%), オルフェーヴル(勝15.4%/複30.8%), エピファネイア(勝5.6%/複16.7%), ドゥラメンテ(勝7.7%/複23.1%), ルーラーシップ(勝7.7%/複30.8%), キングカメハメハ(勝9.1%/複18.2%), サトノダイヤモンド(勝10.0%/複20.0%)","ジャングルポケット(勝30.0%/複50.0%), キングカメハメハ(勝7.7%/複26.9%), ディープインパクト(勝4.8%/複23.8%)",500m+延長(勝7.4%/複21.6%) / 300m-400m延長(勝20.9%/複46.5%) / 100m-200m延長(勝6.2%/複23.1%) / 距離同距離(勝5.7%/複22.6%),ダ→芝(勝5.4%/複16.2%) / ダ→芝(勝0.0%/複16.7%),昇級(勝13.5%/複43.2%) / 降級(勝0.0%/複20.0%)
函館ダート1000m,,,,,新馬: 0:59.4 / 未勝利: 0:59.1,1勝: 0:58.7 / 2勝: 0:58.3,-,,"ヘニーヒューズ(勝13.3%/複24.4%), ロードカナロア(勝13.9%/複30.6%), シニスターミニスター(勝11.4%/複28.6%), パイロ(勝16.0%/複40.0%), ドレフォン(勝21.1%/複47.4%), モズアスコット(勝26.7%/複53.3%), ミッキーアイル(勝9.1%/複30.3%), サウスヴィグラス(勝10.0%/複36.7%), ディスクリートキャット(勝13.0%/複30.4%), メイショウボーラー(勝20.0%/複33.3%), マクフィ(勝23.1%/複38.5%), ビッグアーサー(勝8.3%/複33.3%), コパノリッキー(勝9.1%/複22.7%), リオンディーズ(勝9.5%/複28.6%), タリスマニック(勝14.3%/複42.9%), マインドユアビスケッツ(勝14.3%/複35.7%), イスラボニータ(勝15.4%/複38.5%)","サウスヴィグラス(勝21.2%/複40.4%), キングカメハメハ(勝15.6%/複25.0%), クロフネ(勝10.0%/複30.0%), フレンチデピュティ(勝11.8%/複32.4%), キンシャサノキセキ(勝36.4%/複36.4%), ディープインパクト(勝10.3%/複31.0%), ゴールドアリュール(勝11.1%/複33.3%), ダイワメジャー(勝6.2%/複25.0%), ゼンノロブロイ(勝8.3%/複12.5%), アドマイヤムーン(勝9.1%/複27.3%), マンハッタンカフェ(勝10.0%/複25.0%), ハーツクライ(勝10.5%/複21.1%), アグネスタキオン(勝11.8%/複17.6%), ブラックタイド(勝14.3%/複21.4%), ダンスインザダーク(勝4.3%/複13.0%), シンボリクリスエス(勝4.5%/複27.3%), サクラバクシンオー(勝5.0%/複35.0%)",距離同距離(勝10.6%/複29.7%) / 100m-200m短縮(勝7.7%/複24.3%) / 300m-400m短縮(勝7.1%/複21.4%) / 500m+短縮(勝3.0%/複16.4%),芝→ダ(勝4.8%/複17.1%) / 芝→ダ(勝5.3%/複5.3%),昇級(勝13.3%/複30.0%) / 昇級(勝40.0%/複40.0%)
函館ダート1700m,,,,,新馬: 1:47.3 / 未勝利: 1:46.3,1勝: 1:45.4 / 2勝: 1:44.7,3勝: 1:44.8 / 重賞OP: 1:43.7,,"キズナ(勝16.4%/複32.7%), ドレフォン(勝9.9%/複29.6%), ドゥラメンテ(勝15.4%/複32.7%), ロードカナロア(勝8.5%/複29.3%), オルフェーヴル(勝15.8%/複23.7%), ブラックタイド(勝18.8%/複28.1%), マジェスティックウォリアー(勝8.1%/複22.6%), シニスターミニスター(勝9.4%/複30.2%), ホッコータルマエ(勝10.0%/複26.0%), マインドユアビスケッツ(勝12.8%/複46.2%), ヘニーヒューズ(勝7.7%/複28.8%), ジャスタウェイ(勝8.3%/複22.9%), コパノリッキー(勝11.8%/複20.6%), ハーツクライ(勝12.5%/複21.9%), マクフィ(勝13.3%/複36.7%), キングカメハメハ(勝13.8%/複41.4%), ルヴァンスレーヴ(勝16.0%/複32.0%), リオンディーズ(勝7.5%/複27.5%), カレンブラックヒル(勝8.6%/複22.9%), エスポワールシチー(勝11.1%/複40.7%)","キングカメハメハ(勝9.8%/複23.5%), クロフネ(勝10.5%/複30.2%), フジキセキ(勝11.1%/複28.4%), ゴールドアリュール(勝12.9%/複27.1%), マンハッタンカフェ(勝17.4%/複37.0%), ディープインパクト(勝5.6%/複19.1%), アグネスタキオン(勝7.9%/複34.9%), ハーツクライ(勝10.4%/複27.1%), Giant's Causeway(勝25.0%/複40.0%), シンボリクリスエス(勝6.5%/複21.0%), サンデーサイレンス(勝7.4%/複38.9%), ネオユニヴァース(勝8.3%/複22.9%), サウスヴィグラス(勝9.3%/複23.3%), スペシャルウィーク(勝5.0%/複23.3%), フレンチデピュティ(勝5.5%/複29.1%), ワイルドラッシュ(勝11.5%/複34.6%), ハービンジャー(勝12.5%/複37.5%), ジャングルポケット(勝15.0%/複25.0%), ダイワメジャー(勝4.4%/複24.4%)",500m+延長(勝4.5%/複12.9%) / 300m-400m延長(勝7.4%/複20.6%) / 100m-200m延長(勝8.2%/複20.6%) / 距離同距離(勝8.3%/複27.3%) / 100m-200m短縮(勝8.3%/複24.5%) / 300m-400m短縮(勝6.8%/複17.9%) / 500m+短縮(勝11.6%/複20.9%),芝→ダ(勝8.0%/複13.1%) / 芝→ダ(勝6.9%/複24.1%),昇級(勝10.9%/複30.3%) / 降級(勝0.0%/複0.0%) / 昇級(勝14.3%/複42.9%)
函館ダート2400m,,,,,未勝利: 2:35.2,1勝: 2:34.1,-,,-,-,500m+延長(勝8.5%/複22.0%) / 300m-400m延長(勝13.5%/複32.4%) / 距離同距離(勝6.7%/複46.7%) / 100m-200m短縮(勝7.7%/複23.1%),芝→ダ(勝10.3%/複24.1%),-
