1,芝,1800,前走のコースが函館芝1800m,前走の馬体重が470kg以上,馬齢が3歳以下
2,芝,1800~2000,父がダンジグ系種牡馬,前走のコースが1800m以上,枠番が1〜6枠
3,芝,2000,父がステイゴールド系種牡馬,前走の4コーナー通過順が 9番手以内,馬齢が5歳以下
4,芝,2600,生産者がノーザンファーム,馬齢が5歳以下,前走の4コーナー通過順が 11番手以内
5,ダート,1000,前走のコースが左回り,枠番が3～8枠,前走の出走頭数が13頭以上
6,ダート,1000～1700,父がホッコータルマエ,馬齢が5歳以下,前走との間隔が中10週以内
7,ダート,1000～1700,騎手が武豊,前走との間隔が中2週以上,前走の条件が今回より上のクラスか 今回と同じクラス
8,ダート,1700,騎手が丹内祐次,前走の上がり6位以内,前走のコースが1400m以上
9,ダート,1700,騎手が横山和生,前走の騎手が今回と同じ騎手,前走の条件が今回より 上のクラスか今回と同じクラス
10,芝,1200～1500,騎手が浜中俊,前走の着順が8着以内,馬齢が4歳以下
11,芝,1200～2600,父がキタサンブラック,前走の4コーナー通過順が 11番手以内,負担重量が減量なし
12,芝,1500,前走の上がり2位以内,前走の馬体重が460kg未満,前走の着順が8着以内
13,芝,2000,馬番が1〜2番,馬齢が3歳以下,前走のコースが右回り
14,芝,2600,前走の上がり1位,枠番が1〜5枠,前走との間隔が中7週以内
15,ダート,1000,父がエーピーインディ系種牡馬,枠番が3〜8枠,馬齢が4歳以下
16,ダート,1000～1700,父がホッコータルマエ,出走頭数が10頭以上,馬齢が4歳以下
17,ダート,1700,騎手が武豊,性別が牡馬・セン,出走頭数が14頭
18,芝,1200,前走の出走頭数が 今回より多い頭数,調教師の所属が美浦,前走の4コーナー通過順が 10番手以内
19,芝,1500,父がディープインパクト系種牡馬,前走の4コーナー通過順が5番手以内,馬齢が4歳以下
20,芝,1500～2000,父がダンジグ系種牡馬,前走のコースが 同距離以上,馬齢が3歳以下
21,芝,1800,馬番が1番,前走のコースが芝,前走の出走頭数が 同頭数以上。
22,芝,1800,父がステイゴールド系種牡馬,前走の4コーナー通過順が 9番手以内,前走のコースが 同距離以上
23,芝,2600,前走との間隔が中9週以上,前走の馬体重が500kg未満,調教師の所属が栗東
24,ダート,1000,前走のコースが左回り,馬齢が4歳以下,性別が牝馬
25,ダート,1000,馬番が11～12番,馬齢が4歳以下,負担重量が減量なし
26,ダート,1700,騎手が武豊,負担重量が54kg以上,出走頭数が12頭以上
27,ダート,1700,前走の馬体重が500kg以上,前走の着順が7着以内,前走の出走頭数が同頭数以上
