競馬場,芝ダート,距離,狙い方ヒント
札幌,芝,1400m,Aコースは逃げ先行馬有利
札幌,芝,1400m,逃げ先行馬有利 (差し馬なら捲れる馬に注意
札幌,芝,1600m,良馬場は外枠有利(捲りも〇
函館,ダート,2000m以上,逃げ&先行馬(特に逃げ馬
福島,芝,1600m,逃げ先行馬有利、Aコースは内枠有利(特に夏開催
福島,芝,1600m,距離短縮馬は良馬場で好調
新潟,芝,1600m,先行有利 捲り脚質にも警戒 5月開催は外枠有利 荒れた馬場は外枠有利
新潟,芝,1600m,馬場が荒れ始めると外差し警戒
東京,芝,1600m,1回開催以外は外枠有利 同距離&距離短縮ローテ
京都,芝,1400m(内),1回開催は内枠、それ以外は外枠有利
東京,芝,1800m,1枠有利
東京,芝,2400m,オークスは差し追い込み馬
東京,芝,1600m,目黒記念は内枠有利 アルゼンチン共和国杯は外枠や差し馬有利
東京,ダート,1400m~1600m,東京1400m〜1600mに比べて逃げ先行馬優勢
東京,ダート,1700〜1800m,外枠有利
中京,芝,1200m,外枠なら逃げ先行馬
京都,ダート,Dコース,荒れた馬場やDコースは更に外枠有利
京都,芝,1400m(内),逃げ先行馬有利) (内先行競馬（馬群競馬）で好走経験のある馬
阪神,芝,1600m,逃げ馬苦戦、先行～中団差し有利
阪神,ダート,1400m,良馬場は外枠有利 上級条件は逃げ馬苦戦、差し馬警戒
阪神,芝,1600m,外枠有利
小倉,ダート,2000m,時計が速すぎない 近年は外枠有利 特に若い時期は米国血統持ち
小倉,芝,1800m,先行有利（逃げ馬苦戦
小倉,芝,1600m,逃げ先行馬有利(特に逃げ馬
小倉,ダート,1900〜2400m,前走ダ1900〜2400mで上がり3位以内の末脚を使った馬
東京,芝,1600m(外),直線が長い舞台の道悪は基本先行有利
