種牡馬名,区分,条件文,source
レイデオロ,買い,芝1800m・2200m・2500m以上で近走先行経験馬(テンパターン30以内) or 前走逃げ切り好走,2026-06-20_15-59-01.pdf
レイデオロ,消し,1400m以下・牝馬,2026-06-20_15-59-01.pdf
アジアエクスプレス,買い,芝1500m以下。特に2〜3歳限定戦,2026-06-20_15-59-11.pdf
アドマイヤマーズ,買い,ダートで母父が米国型 or 大型馬(前走馬体重500キロ以上),2026-06-20_15-59-21.pdf
アメリカンペイトリオット,買い,芝1400m以下。母父が米国型以外,2026-06-20_15-59-33.pdf
イスラボニータ,買い,牡馬。母父が欧州型。芝1800m以上,2026-06-20_15-59-43.pdf
イスラボニータ,買い,牝馬。母父が欧州型以外。芝1400m以下,2026-06-20_15-59-43.pdf
イスラボニータ,消し,牝馬。ダート。母父が米国型以外,2026-06-20_15-59-43.pdf
エピファネイア,買い,直線が長いコースの芝1800m以上。母父が米国型以外。2〜3歳限定戦。特に牡馬,2026-06-20_15-59-52.pdf
エピファネイア,買い,芝1600m以上。新馬戦,2026-06-20_15-59-52.pdf
エピファネイア,消し,1200m以下。古馬混合戦,2026-06-20_15-59-52.pdf
エピファネイア,消し,ダート。牝馬,2026-06-20_15-59-52.pdf
オルフェーヴル,買い,芝2000m以上で直線が短いコース。母父が欧州型か日本型,2026-06-20_16-00-05.pdf
オルフェーヴル,買い,ダート1900m以上。大型馬(前走馬体重480キロ以上),2026-06-20_16-00-05.pdf
オルフェーヴル,消し,芝1500m以下。古馬混合戦,2026-06-20_16-00-05.pdf
カリフォルニアクローム,買い,芝1600m以上で直線が長いコース。母父米国型以外,2026-06-20_16-00-18.pdf
カリフォルニアクローム,買い,東京ダート1600m以上。母父米国型以外,2026-06-20_16-00-18.pdf
カリフォルニアクローム,消し,芝1200m以下,2026-06-20_16-00-18.pdf
キズナ,買い,芝1600m以上の2〜3歳限定戦で直線が長いコース。母父が欧州型。特に牡馬,2026-06-20_16-00-34.pdf
キズナ,買い,ダート1800m以上。母父米国型,2026-06-20_16-00-34.pdf
キタサンブラック,買い,ダート1600m以上で母父米国型 or 大型馬(前走馬体重480キロ以上),2026-06-20_16-00-52.pdf
キタサンブラック,消し,芝1800m以下。近走先行経験のない馬 (テンパターン50以内を未経験),2026-06-20_16-00-52.pdf
キタサンブラック,消し,ダート1400m以下。牝馬,2026-06-20_16-00-52.pdf
ゴールドシップ,買い,芝2200m以上の直線が短いコース。下級条件(1勝クラスより下),2026-06-20_16-01-22.pdf
サートゥルナーリア,買い,芝1800m以上で直線長いコース or 前走から距離延長 or 近走上がり上位馬(上がりパターン30以内),2026-06-20_16-01-41.pdf
サトノダイヤモンド,買い,ダート1700m以上。牡馬,2026-06-20_16-01-53.pdf
サンダースノー,買い,ダート1400m以下で母父が欧州型以外,2026-06-20_16-02-06.pdf
サンダースノー,買い,牡馬、セン馬。ダート1800m以上で母父がサンデー系,2026-06-20_16-02-06.pdf
サンダースノー,消し,芝1800m以上,2026-06-20_16-02-06.pdf
シニスターミニスター,買い,ダート1400m以上。牡馬 or 近走先行経験馬(テンパターン50以内) or 大型馬(前走馬体重460キロ以上),2026-06-20_16-02-22.pdf
ジャスタウェイ,買い,芝の古馬混合戦。母父欧州型の牡馬、セン馬,2026-06-20_16-02-32.pdf
ジャスタウェイ,買い,直線が長いコースのダート。古馬混合戦。母父が米国型の牡馬、セン馬,2026-06-20_16-02-32.pdf
シルバーステート,買い,芝2000m以上の条件戦。近走先行経験馬(テンパターン50以内),2026-06-20_16-02-43.pdf
シルバーステート,消し,小型馬(前走馬体重480キロ未満),2026-06-20_16-02-43.pdf
ダノンレジェンド,買い,ダートの新馬戦,2026-06-20_16-03-02.pdf
