course_name,favorable_running_style,course_features,favorable_frame,notes,standard_time_new,standard_time_1_2,standard_time_3,wind_bias,notable_sires,notable_bm_sires,distance_change_bias,surface_change_bias,class_change_bias
東京,重賞では差し追い込み馬が特に有利。全体的にスピードと末脚が求められるコース。,同距離および距離短縮のローテーションの馬が有利。サンデーサイレンス系、ディープインパクト系、ワーグリアチャード、イスラボニータ、末脚に優れたエピファネイア、スピードと持続力に優れたモーリス、ロードカナロア、ドゥラメンテ産駒が好相性。パワー型リアルスティール産駒は下級条件まで、キズナ産駒のパワー型牡馬は伸び悩む傾向にある。,1回開催（2月）は内枠が有利。それ以外の期間（4月～12月）は外枠が有利。,データは主に過去5年（6～9月）または過去10年で集計されている。回収率データは、単勝オッズ50.1倍以上の馬を除外して算出されている。,,,,,,,300m-400m延長(勝0.0%/複4.5%) / 100m-200m延長(勝6.6%/複19.4%) / 距離同距離(勝6.9%/複25.4%) / 100m-200m短縮(勝7.2%/複23.7%) / 300m-400m短縮(勝6.2%/複10.9%) / 500m+短縮(勝4.6%/複10.3%),芝→ダ(勝2.6%/複8.2%) / 芝→ダ(勝11.1%/複11.1%),昇級(勝8.7%/複16.6%) / 降級(勝0.0%/複25.0%) / 昇級(勝11.8%/複11.8%)
東京芝1600m,差し馬、特に重賞では差し追い込み馬が有利。道中速い追走でもバテない体力と後半の末脚性能が必要。,ペースが緩みにくく、バテない体力と末脚性能が求められる。距離延長馬は苦戦し、距離ローテや距離短縮馬が好走の中心となる。スムーズに加速を付けやすいコース。,基本的に外枠有利。ただし、エアレーションやシャタリング作業がなく高速決着となる1回開催(2月)のみ内枠が有利となるため注意が必要。,GⅠ安田記念では差し追い込み馬が過去10年で8勝している。,新馬: 1:35.9 / 未勝利: 1:34.4,1勝: 1:33.7 / 2勝: 1:33.5,3勝: 1:33.1 / 重賞OP: 1:32.7,,"エピファネイア(勝13.6%/複36.2%), ロードカナロア(勝10.8%/複34.7%), モーリス(勝10.2%/複33.5%), キズナ(勝12.5%/複32.2%), ドゥラメンテ(勝12.8%/複30.1%), キタサンブラック(勝15.6%/複34.4%), ディープインパクト(勝12.8%/複22.9%), リアルスティール(勝18.3%/複40.8%), イスラボニータ(勝9.2%/複24.4%), ブリックスアンドモルタル(勝13.9%/複30.6%), ハービンジャー(勝8.3%/複25.7%), サートゥルナーリア(勝15.0%/複33.3%), ルーラーシップ(勝6.3%/複23.0%), ドレフォン(勝11.3%/複31.0%), スクリーンヒーロー(勝9.1%/複31.2%), ダイワメジャー(勝6.3%/複24.2%), ハーツクライ(勝6.7%/複33.7%), スワーヴリチャード(勝10.9%/複25.5%), ダノンバラード(勝6.1%/複19.5%), レイデオロ(勝8.3%/複25.0%)","ディープインパクト(勝11.3%/複31.8%), キングカメハメハ(勝9.4%/複28.5%), シンボリクリスエス(勝11.7%/複23.4%), ハーツクライ(勝7.9%/複17.1%), クロフネ(勝8.8%/複28.1%), ダイワメジャー(勝7.1%/複22.8%), アグネスタキオン(勝7.7%/複21.2%), ハービンジャー(勝10.4%/複23.9%), Frankel(勝18.8%/複37.5%), ゼンノロブロイ(勝6.2%/複13.6%), ルーラーシップ(勝9.8%/複25.5%), フジキセキ(勝6.5%/複17.7%), ヴィクトワールピサ(勝8.7%/複17.4%), フレンチデピュティ(勝9.1%/複22.7%), Tapit(勝16.0%/複32.0%), Danehill Dancer(勝33.3%/複66.7%), Reckless Abandon(勝36.4%/複36.4%), ネオユニヴァース(勝4.7%/複18.8%), ファルブラヴ(勝7.1%/複19.0%), Galileo(勝7.5%/複27.5%)",500m+延長(勝0.0%/複0.0%) / 300m-400m延長(勝1.5%/複7.8%) / 100m-200m延長(勝4.9%/複15.9%) / 距離同距離(勝8.9%/複26.2%) / 100m-200m短縮(勝7.6%/複21.0%) / 300m-400m短縮(勝5.4%/複20.3%) / 500m+短縮(勝7.5%/複22.6%),ダ→芝(勝2.3%/複6.1%) / ダ→芝(勝3.9%/複9.8%),昇級(勝9.8%/複26.0%) / 降級(勝17.2%/複36.1%) / 昇級(勝8.6%/複22.4%) / 降級(勝11.1%/複38.9%)
東京芝1400m,,,,,新馬: 1:23.1 / 未勝利: 1:21.9,1勝: 1:21.4 / 2勝: 1:21.0,3勝: 1:20.6 / 重賞OP: 1:20.7,,"ロードカナロア(勝12.3%/複28.9%), エピファネイア(勝9.4%/複26.8%), イスラボニータ(勝12.0%/複32.0%), モーリス(勝6.2%/複23.4%), ビッグアーサー(勝10.3%/複18.4%), レイデオロ(勝23.5%/複47.1%), ドレフォン(勝8.1%/複20.3%), ハーツクライ(勝9.8%/複26.2%), キタサンブラック(勝13.0%/複21.7%), リオンディーズ(勝7.8%/複25.0%), ディープインパクト(勝8.9%/複30.4%), サートゥルナーリア(勝17.2%/複48.3%), ミッキーアイル(勝4.8%/複26.2%), キズナ(勝5.5%/複23.3%), ルーラーシップ(勝6.9%/複19.0%), スクリーンヒーロー(勝7.1%/複14.3%), マクフィ(勝8.2%/複20.4%), ダノンバラード(勝9.1%/複22.7%), ロジャーバローズ(勝11.4%/複25.7%), レッドファルクス(勝11.8%/複23.5%)","ディープインパクト(勝7.8%/複22.5%), ダイワメジャー(勝11.7%/複25.8%), キングカメハメハ(勝5.7%/複24.2%), スペシャルウィーク(勝13.0%/複29.6%), ハーツクライ(勝8.1%/複21.6%), クロフネ(勝8.5%/複19.7%), ゼンノロブロイ(勝8.5%/複21.1%), ネオユニヴァース(勝11.1%/複13.0%), ハービンジャー(勝14.0%/複27.9%), サンデーサイレンス(勝8.1%/複21.0%), ジャングルポケット(勝10.9%/複30.4%), ステイゴールド(勝11.1%/複15.6%), Dubawi(勝13.5%/複35.1%), サクラバクシンオー(勝6.0%/複22.4%), シンボリクリスエス(勝6.1%/複16.7%), アグネスタキオン(勝6.7%/複15.0%), Grand Slam(勝23.5%/複35.3%), Red Ransom(勝23.5%/複58.8%), フジキセキ(勝4.3%/複21.4%), タイキシャトル(勝4.5%/複13.4%)",300m-400m延長(勝1.9%/複1.9%) / 100m-200m延長(勝4.8%/複14.4%) / 距離同距離(勝7.1%/複23.6%) / 100m-200m短縮(勝9.7%/複26.3%) / 300m-400m短縮(勝5.2%/複13.8%) / 500m+短縮(勝1.8%/複12.5%),ダ→芝(勝3.3%/複8.5%) / ダ→芝(勝0.0%/複4.3%),昇級(勝8.4%/複23.5%) / 降級(勝11.8%/複31.9%) / 昇級(勝4.5%/複18.2%) / 降級(勝12.5%/複20.8%)
東京芝1800m,,,,,新馬: 1:49.0 / 未勝利: 1:47.8,1勝: 1:46.6 / 2勝: 1:46.5,3勝: 1:45.9 / 重賞OP: 1:46.1,,"ドゥラメンテ(勝13.4%/複34.2%), エピファネイア(勝10.5%/複30.5%), ロードカナロア(勝12.9%/複38.1%), モーリス(勝16.2%/複39.6%), キズナ(勝12.0%/複39.1%), キタサンブラック(勝17.0%/複33.0%), ディープインパクト(勝8.6%/複28.3%), ハーツクライ(勝9.9%/複32.4%), レイデオロ(勝16.4%/複32.8%), リアルスティール(勝13.3%/複34.7%), ハービンジャー(勝7.6%/複22.7%), シルバーステート(勝6.7%/複24.8%), ルーラーシップ(勝7.1%/複22.2%), ジャスタウェイ(勝10.6%/複30.3%), サートゥルナーリア(勝15.9%/複38.6%), ゴールドシップ(勝3.2%/複15.5%), リオンディーズ(勝7.5%/複17.9%), サトノダイヤモンド(勝8.8%/複19.3%), ブリックスアンドモルタル(勝6.8%/複28.8%), サトノクラウン(勝7.7%/複11.5%)","ディープインパクト(勝9.8%/複26.9%), キングカメハメハ(勝10.0%/複31.7%), マンハッタンカフェ(勝14.1%/複25.6%), ハーツクライ(勝10.8%/複24.1%), ステイゴールド(勝12.3%/複21.9%), ハービンジャー(勝12.3%/複24.6%), ルーラーシップ(勝13.7%/複39.2%), Frankel(勝26.9%/複61.5%), ゼンノロブロイ(勝8.8%/複22.8%), ロージズインメイ(勝14.3%/複28.6%), Galileo(勝17.9%/複39.3%), シンボリクリスエス(勝4.7%/複24.7%), クロフネ(勝5.1%/複16.5%), アドマイヤムーン(勝9.1%/複27.3%), Fastnet Rock(勝26.7%/複53.3%), Royal Applause(勝30.8%/複61.5%), フジキセキ(勝4.8%/複17.5%), ダンスインザダーク(勝5.3%/複14.0%), ネオユニヴァース(勝6.8%/複18.2%)",500m+延長(勝0.0%/複2.7%) / 300m-400m延長(勝3.9%/複11.8%) / 100m-200m延長(勝7.4%/複23.3%) / 距離同距離(勝9.1%/複27.4%) / 100m-200m短縮(勝8.2%/複24.9%) / 300m-400m短縮(勝10.3%/複21.8%) / 500m+短縮(勝4.5%/複9.0%),ダ→芝(勝0.8%/複8.4%) / ダ→芝(勝2.6%/複12.8%),昇級(勝9.0%/複29.7%) / 降級(勝13.2%/複30.8%) / 昇級(勝2.9%/複20.0%) / 降級(勝10.5%/複26.3%)
東京芝2000m,,,,,新馬: 2:02.3 / 未勝利: 2:01.0,1勝: 1:59.9 / 2勝: 1:59.7,3勝: 1:58.7 / 重賞OP: 1:58.4,,"エピファネイア(勝16.0%/複41.2%), キタサンブラック(勝23.0%/複43.2%), キズナ(勝14.3%/複37.8%), モーリス(勝16.7%/複31.9%), ディープインパクト(勝8.6%/複31.9%), ドゥラメンテ(勝10.9%/複26.1%), ハーツクライ(勝7.7%/複27.4%), リアルスティール(勝17.9%/複41.0%), ゴールドシップ(勝4.2%/複23.6%), ハービンジャー(勝6.4%/複21.3%), シルバーステート(勝13.0%/複37.0%), レイデオロ(勝14.6%/複29.3%), サートゥルナーリア(勝23.1%/複34.6%), スワーヴリチャード(勝24.0%/複52.0%), ロードカナロア(勝6.9%/複26.4%), キングカメハメハ(勝13.2%/複31.6%), ルーラーシップ(勝4.7%/複22.1%), ジャスタウェイ(勝13.3%/複23.3%), サトノダイヤモンド(勝6.7%/複31.1%), フィエールマン(勝9.7%/複32.3%)","ディープインパクト(勝11.6%/複30.3%), キングカメハメハ(勝12.5%/複33.3%), シンボリクリスエス(勝10.5%/複26.3%), ハーツクライ(勝10.5%/複26.3%), アドマイヤムーン(勝27.3%/複31.8%), ハービンジャー(勝8.8%/複33.3%), マンハッタンカフェ(勝11.4%/複27.3%), ゼンノロブロイ(勝11.9%/複33.3%), クロフネ(勝7.4%/複22.2%), フジキセキ(勝12.5%/複21.9%), ルーラーシップ(勝16.7%/複41.7%), ヴィクトワールピサ(勝20.0%/複55.0%), Street Cry(勝30.8%/複38.5%), ジャングルポケット(勝7.3%/複14.6%), ダイワメジャー(勝9.4%/複31.2%), Monsun(勝11.5%/複23.1%), Unbridled's Song(勝16.7%/複33.3%), キングヘイロー(勝18.8%/複31.2%), オルフェーヴル(勝21.4%/複64.3%)",500m+延長(勝2.3%/複2.3%) / 300m-400m延長(勝6.2%/複18.8%) / 100m-200m延長(勝8.6%/複24.2%) / 距離同距離(勝8.9%/複29.8%) / 100m-200m短縮(勝9.6%/複28.7%) / 300m-400m短縮(勝12.3%/複24.6%) / 500m+短縮(勝9.5%/複33.3%),ダ→芝(勝1.3%/複7.4%) / ダ→芝(勝0.0%/複5.9%),昇級(勝12.8%/複32.0%) / 降級(勝19.5%/複46.3%) / 昇級(勝8.3%/複27.1%) / 降級(勝40.0%/複50.0%)
東京芝2300m,,,,,未勝利: 2:21.2,1勝: 2:19.8,-,,-,-,500m+延長(勝0.0%/複15.4%) / 300m-400m延長(勝12.5%/複25.0%) / 100m-200m延長(勝18.5%/複44.4%) / 100m-200m短縮(勝9.1%/複36.4%),ダ→芝(勝0.0%/複7.7%),昇級(勝9.1%/複36.4%)
東京芝2400m,,,,,未勝利: 2:27.3,1勝: 2:26.4 / 2勝: 2:25.7,3勝: 2:25.1 / 重賞OP: 2:24.0,,"ドゥラメンテ(勝16.2%/複45.5%), ディープインパクト(勝8.5%/複29.2%), ハーツクライ(勝6.8%/複17.1%), キタサンブラック(勝13.6%/複28.8%), レイデオロ(勝16.3%/複30.6%), キングカメハメハ(勝17.8%/複35.6%), ハービンジャー(勝9.5%/複27.0%), エピファネイア(勝10.3%/複27.9%), キズナ(勝5.5%/複32.1%), ルーラーシップ(勝6.9%/複31.0%), ゴールドシップ(勝4.7%/複12.3%), モーリス(勝11.4%/複20.0%), シュヴァルグラン(勝10.0%/複40.0%), ミッキーロケット(勝15.0%/複25.0%), ワールドエース(勝15.0%/複50.0%), フィエールマン(勝15.8%/複36.8%), ドレフォン(勝20.0%/複33.3%), グレーターロンドン(勝21.4%/複50.0%), ジャスタウェイ(勝4.8%/複26.2%), オルフェーヴル(勝6.5%/複12.9%)","ディープインパクト(勝11.9%/複27.6%), キングカメハメハ(勝11.5%/複23.0%), マンハッタンカフェ(勝18.2%/複34.1%), クロフネ(勝15.9%/複40.9%), シンボリクリスエス(勝10.7%/複35.7%), チチカステナンゴ(勝19.0%/複38.1%), ハービンジャー(勝5.5%/複30.9%), アグネスタキオン(勝8.8%/複26.5%), フレンチデピュティ(勝9.4%/複18.8%), キングヘイロー(勝16.7%/複38.9%), サクラバクシンオー(勝25.0%/複50.0%), ゼンノロブロイ(勝5.3%/複23.7%), サンデーサイレンス(勝6.9%/複24.1%), ステイゴールド(勝7.7%/複19.2%), Tapit(勝8.7%/複56.5%), ジャングルポケット(勝12.5%/複25.0%), アグネスデジタル(勝14.3%/複21.4%), ファルブラヴ(勝15.4%/複23.1%)",500m+延長(勝4.6%/複15.0%) / 300m-400m延長(勝8.1%/複21.6%) / 100m-200m延長(勝9.4%/複30.5%) / 距離同距離(勝12.7%/複35.5%) / 100m-200m短縮(勝5.3%/複20.6%) / 500m+短縮(勝0.0%/複11.4%),ダ→芝(勝1.6%/複6.3%) / ダ→芝(勝0.0%/複5.6%),昇級(勝9.9%/複26.4%) / 降級(勝14.6%/複45.1%) / 昇級(勝8.5%/複21.3%)
東京芝2500m,,,,,-,2勝: 2:33.2,重賞OP: 2:31.1,,"キングカメハメハ(勝26.7%/複40.0%), ディープインパクト(勝4.0%/複16.0%), ハーツクライ(勝5.0%/複20.0%), オルフェーヴル(勝9.1%/複9.1%), ルーラーシップ(勝10.0%/複20.0%), ゴールドシップ(勝0.0%/複8.3%), スクリーンヒーロー(勝0.0%/複50.0%)","ディープインパクト(勝11.1%/複27.8%), キングカメハメハ(勝0.0%/複0.0%)",500m+延長(勝0.0%/複13.0%) / 300m-400m延長(勝9.1%/複22.7%) / 100m-200m延長(勝2.2%/複19.6%) / 距離同距離(勝17.2%/複27.6%) / 100m-200m短縮(勝11.5%/複26.9%) / 500m+短縮(勝7.7%/複15.4%),-,昇級(勝4.3%/複21.7%) / 昇級(勝0.0%/複0.0%)
東京芝3400m,,,,,-,-,重賞OP: 3:30.7,,ディープインパクト(勝0.0%/複20.0%),-,500m+延長(勝5.0%/複20.0%) / 300m-400m延長(勝14.3%/複21.4%) / 100m-200m短縮(勝6.7%/複26.7%),ダ→芝(勝0.0%/複0.0%),昇級(勝9.1%/複27.3%)
東京ダート1300m,,,,,新馬: 1:20.2 / 未勝利: 1:19.0,1勝: 1:18.4 / 2勝: 1:17.6,3勝: 1:17.1,,"ヘニーヒューズ(勝15.4%/複30.8%), ダノンレジェンド(勝17.1%/複25.7%), アジアエクスプレス(勝15.2%/複27.3%), ドレフォン(勝8.0%/複26.0%), パイロ(勝10.0%/複32.5%), コパノリッキー(勝12.1%/複18.2%), トゥザワールド(勝26.7%/複33.3%), イスラボニータ(勝11.1%/複25.9%), マジェスティックウォリアー(勝7.1%/複17.9%), リオンディーズ(勝7.1%/複25.0%), ロードカナロア(勝8.0%/複24.0%), カレンブラックヒル(勝8.3%/複16.7%), ミッキーアイル(勝8.3%/複37.5%), ロージズインメイ(勝9.5%/複28.6%), プリサイスエンド(勝14.3%/複21.4%), ベストウォーリア(勝15.4%/複30.8%), ラニ(勝20.0%/複30.0%), ホッコータルマエ(勝3.3%/複10.0%)","キングカメハメハ(勝10.2%/複40.7%), クロフネ(勝6.2%/複18.5%), ディープインパクト(勝11.8%/複11.8%), マンハッタンカフェ(勝12.5%/複25.0%), ダイワメジャー(勝5.0%/複16.7%), アグネスタキオン(勝7.5%/複22.5%), ハーツクライ(勝7.9%/複18.4%), ネオユニヴァース(勝9.4%/複34.4%), フジキセキ(勝10.0%/複16.7%), ワイルドラッシュ(勝12.0%/複36.0%), スウェプトオーヴァーボード(勝13.6%/複31.8%), アグネスデジタル(勝17.6%/複23.5%), フレンチデピュティ(勝6.7%/複16.7%), サクラバクシンオー(勝7.4%/複22.2%), ブラックタイド(勝7.7%/複26.9%), スペシャルウィーク(勝8.3%/複20.8%), ダンスインザダーク(勝9.1%/複9.1%), ファルブラヴ(勝11.8%/複23.5%), シニスターミニスター(勝14.3%/複35.7%)",300m-400m延長(勝0.0%/複4.5%) / 100m-200m延長(勝6.6%/複19.4%) / 距離同距離(勝6.9%/複25.4%) / 100m-200m短縮(勝7.2%/複23.7%) / 300m-400m短縮(勝6.2%/複10.9%) / 500m+短縮(勝4.6%/複10.3%),芝→ダ(勝2.6%/複8.2%) / 芝→ダ(勝11.1%/複11.1%),昇級(勝8.7%/複16.6%) / 降級(勝0.0%/複25.0%) / 昇級(勝11.8%/複11.8%)
