1,芝,1200,父がストームキャット系種牡馬,前走のコースが芝,馬齢が4歳以下
2,芝,1200,前走のコースが京都芝,前走の馬体重が420kg以上,馬齢が5歳以下
3,芝,1200～1800,父がミッキーアイル,出走頭数が10頭以上,馬齢が3歳以上
4,芝,1800,父がディープインパクト系種牡馬,性別が牝馬,前走の4コーナー通過順が 10番手以内
5,芝,1800,騎手が丹内祐次,前走の4コーナー通過順が 7番手以内,調教師の所属が美浦
6,芝,2600,調教師の所属が美浦,前走の着順が3着以内,出走頭数が10頭以上
7,ダート,1000,調教師の所属が栗東,前走の出走頭数が16頭以上,前走の4コーナー通過順が 4番手以内
8,ダート,1700～2400,騎手が丹内祐次,前走との間隔が中7週以内,父がノーザンダンサー系以外の種牡馬
9,芝,1200,前走のコースが京都芝,馬齢が5歳以下,前走との間隔が中3週以上
10,芝,1200～2000,父がキタサンブラック,前走の馬体重が490kg未満,前走のコースが同距離以上
11,芝,1800～2600,父がダノンバラード,前走の着順が7着以内,前走の馬体重が410kg以上
12,芝,2000,前走のコースが新潟,前走の着順が9着以内,馬齢が5歳以下
13,ダート,1000,馬番が1番,馬齢が5歳以下,負担重量が52.0kg以上
14,ダート,1000～2400,父がドレフォン,負担重量が減量なし,前走のコースがダート
15,ダート,1700,馬番が1番,負担重量が減量なし,前走との間隔が中9週以内
16,ダート,2400,父か母父が ノーザンダンサー系種牡馬,馬齢が4歳以下,負担重量が減量なし
17,芝,1200～2000,騎手が佐々木大輔,性別が牝馬,馬齢が4歳以下
18,芝,1800～2000,前走のコースが 東京芝1800～2000m,枠番が4～8枠,負担重量が減量なし
19,芝,1800～2600,父がエピファネイア,枠番が2～8枠,性別が牡馬・セン
20,芝,2000,前走の出走頭数が 今回より多い頭数,前走の着順が10着以内,出走頭数が9頭以上
21,ダート,1000,調教師の所属が栗東,前走の出走頭数が16頭以上,前走の4コーナー通過順が 7番手以内
22,ダート,1000～1700,騎手が鮫島克駿,馬齢が3歳以下,調教師の所属が栗東
23,ダート,1700,前走のコースが京都,負担重量が減量なし,性別が牡馬・セン
