course_name,favorable_running_style,course_features,favorable_frame,notes,standard_time_new,standard_time_1_2,standard_time_3,wind_bias,notable_sires,notable_bm_sires,distance_change_bias,surface_change_bias,class_change_bias
札幌競馬場,直線向かい風（北風）時は先行、直線追い風（南風）時は差しが有利。持続的に末脚を伸ばし続けられるタイプや、終始持続的なスピードが要求されるタイプ（特にスプリント、1400m）が良い。ダートの中距離コースではコーナー外から持続的に末脚を伸ばせる馬や、捲りが発生しやすい。湿った馬場では、立ち回りを活かしたい小回り向きの馬が巻き返す傾向がある。大外から差す強い競馬ができる馬も好走する。,平均クッション値は7.5。直線向かい風は北方向で先行有利、直線追い風は南方向で差し有利となる。持続的に末脚を伸ばし続けられるトニービンの血統が好相性。ドゥラメンテやハーツクライ産駒、および母父ハーツクライの馬は好成績を残している。距離が延びるにつれて、体力豊富なステイゴールド系のゴールドシップやオルフェーヴル産駒が成績を伸ばす。ディープインパクト系では体力とパワーを豊富に持つキズナ産駒が安定した成績を見せる。スプリント（特に1400m）では、コーナーが緩く、終始持続的なスピードが要求されるため、ミッキーアイル牝馬やロードカナロア産駒が目立つ。時計が掛かる馬場ではファインニードル産駒も警戒が必要。欧州の血を持つタワーオブロンドン産駒は洋芝スプリントに合う可能性があり、2025年のキーランドカップでは同産駒のパンジャタワーが3歳馬ながら斤量57kgを背負い、大外から差し切る強い競馬で勝利した。ダートコースの特長として、コーナーの角度が他場の小回りコースと比べて緩いため、中距離コースではコーナー外から持続的に末脚を伸ばせる馬が好走しやすく、捲りも発生しやすい。立ち回りを活かしたい小回り向きの馬は、湿った馬場で巻き返す傾向があり、馬場状態によって狙いが大きく変わる。,,,,,,,,,距離同距離(勝9.6%/複29.7%) / 100m-200m短縮(勝8.4%/複22.0%) / 300m-400m短縮(勝6.8%/複29.7%) / 500m+短縮(勝5.2%/複11.7%),芝→ダ(勝7.4%/複17.9%),昇級(勝8.8%/複25.3%) / 降級(勝16.7%/複16.7%)
札幌競馬場 (芝),レース全体でスピードと持続力が求められ、長くスピードを維持できる能力が有利となる。,"['終始平坦な小回りコースで、直線距離はJRAで2番目に短い266.1m。コーナー角度は緩く楕円形。', '気候の関係から寒さに強い「洋芝」を採用しており、一般的な「野芝」に比べて水分量を多く含むためクッション値が低く出る（柔らかい）のが特徴。', '函館には設置されていない暗渠管（地下排水管）が札幌には設置されているため、水捌けが良い競馬場。', '良好な馬場状態で行われる開催前半（Aコース時）はスピードが求められるが、タフな洋芝が本領を発揮し始めるのはCコースの開催後半から。', 'コーナーが緩く、レース全体で淡々とペースが流れやすい。']",,"['同じ小回り＋洋芝で括られやすい函館とは求められる適性が異なる。', 'スピードと持続力が必要とされるため、中距離戦での適性が高い。', '少し時計や上がりの掛かる東京というイメージに近く、器用さやパワーよりもスピードの持続力が重視される。']",,,,,,,100m-200m延長(勝7.4%/複17.2%) / 距離同距離(勝7.2%/複22.1%) / 100m-200m短縮(勝4.2%/複30.2%) / 300m-400m短縮(勝12.4%/複23.3%) / 500m+短縮(勝2.7%/複9.5%),ダ→芝(勝3.6%/複12.0%),昇級(勝10.7%/複28.9%) / 降級(勝14.3%/複50.0%)
札幌ダートコース,,札幌競馬場のダートコース。一周距離は1487.0m、幅員は20m、直線距離（ホームストレッチ）は292.1m。高低差は2.3m。1・2コーナーは半径143.7m（180°）でゆるい下り勾配。3・4コーナーも半径143.7m（180°）でほぼ平坦。ホームストレッチはゆるい上り勾配、バックストレッチはゆるい下り勾配となっている。1000m、1700m、2400mのスタート地点が図示されている。,,,,,,,,,距離同距離(勝9.6%/複29.7%) / 100m-200m短縮(勝8.4%/複22.0%) / 300m-400m短縮(勝6.8%/複29.7%) / 500m+短縮(勝5.2%/複11.7%),芝→ダ(勝7.4%/複17.9%),昇級(勝8.8%/複25.3%) / 降級(勝16.7%/複16.7%)
札幌芝,,札幌芝コースは、全周にわたってほぼ平坦で、高低差は0.7mと小さい。ホームストレッチは292.1m。1・2コーナーおよび3・4コーナーはともに半径168.2mの180度カーブ。コース幅員、一周距離、直線距離は以下の通り。Aコース：幅員25～27m、一周1640.9m、直線266.1m。Bコース：幅員23.5～25.5m、一周1650.4m、直線267.6m。Cコース：幅員22～25m、一周1659.8m、直線269.1m。また、1コーナー入口から2コーナー出口までの距離はAコース528.4m、Bコース533.1m、Cコース537.8m。,,,,,,,,,100m-200m延長(勝7.4%/複17.2%) / 距離同距離(勝7.2%/複22.1%) / 100m-200m短縮(勝4.2%/複30.2%) / 300m-400m短縮(勝12.4%/複23.3%) / 500m+短縮(勝2.7%/複9.5%),ダ→芝(勝3.6%/複12.0%),昇級(勝10.7%/複28.9%) / 降級(勝14.3%/複50.0%)
札幌芝スプリント (A/Cコース),Aコースでは逃げ・先行馬が有利。また、距離短縮馬が好走する傾向がある。,"['コーナーが緩く、終始持続的なスピードが要求される洋芝スプリント。', '1400mも走れるスタミナとパワーを持つ血統が好相性。', '広いコースで末脚を伸ばせる血統が良い成績。', '注目血統: ミッキーアイル産駒、ロードカナロア産駒、体力・パワー豊富なファインニードル産駒、欧州要素が強く洋芝適性の高いタワーオブロンドン産駒。']",Aコース、Cコースともに外枠 (6-8枠) が有利。特にCコースの外枠は勝率が高い。,Cコースは荒れる開催後半で外枠に警戒が必要。,,,,,,,100m-200m延長(勝7.4%/複17.2%) / 距離同距離(勝7.2%/複22.1%) / 100m-200m短縮(勝4.2%/複30.2%) / 300m-400m短縮(勝12.4%/複23.3%) / 500m+短縮(勝2.7%/複9.5%),ダ→芝(勝3.6%/複12.0%),昇級(勝10.7%/複28.9%) / 降級(勝14.3%/複50.0%)
札幌芝1500m,逃げ、先行,1、2コーナーポケットからスタートする終始平坦コース。コーナースタートの影響でポジションを取りやすい。スピードと持続力の要求値が高く、東京のコースとのリンク性がある。,内枠が基本。ただし馬場が荒れやすいCコースでは外枠が不利に変化する傾向がある。,特に開催後半は馬場の荒れに注意が必要。開催時期的なローテーションもあり、前走東京芝1400m組が好成績で複勝率は5割を超える。標準時計は新馬＆未勝利戦で1分28秒9、1、2勝クラスで1分28秒3。,新馬: 1:30.7 / 未勝利: 1:29.9,1勝: 1:29.0 / 2勝: 1:28.3,3勝: 1:29.3 / 重賞OP: 1:30.4,,"エピファネイア(勝12.9%/複37.1%), モーリス(勝13.8%/複37.9%), キズナ(勝16.7%/複30.0%), ハーツクライ(勝20.0%/複36.0%), ロードカナロア(勝6.1%/複22.4%), ドレフォン(勝10.0%/複26.7%), リオンディーズ(勝11.5%/複23.1%), サトノダイヤモンド(勝17.6%/複29.4%), サトノクラウン(勝18.8%/複37.5%), シルバーステート(勝7.4%/複25.9%), スワーヴリチャード(勝10.0%/複20.0%), ルーラーシップ(勝11.1%/複22.2%), キタサンブラック(勝13.3%/複46.7%), オルフェーヴル(勝14.3%/複14.3%), ダノンバラード(勝16.7%/複25.0%), モズアスコット(勝16.7%/複33.3%), カレンブラックヒル(勝18.2%/複27.3%), ロゴタイプ(勝20.0%/複20.0%)","ディープインパクト(勝7.2%/複30.1%), キングカメハメハ(勝10.9%/複26.1%), マンハッタンカフェ(勝17.2%/複48.3%), サンデーサイレンス(勝20.8%/複37.5%), アグネスデジタル(勝21.1%/複42.1%), ダイワメジャー(勝8.6%/複34.3%), ハーツクライ(勝10.7%/複35.7%), フレンチデピュティ(勝15.0%/複15.0%), アグネスタキオン(勝5.9%/複20.6%), ゼンノロブロイ(勝11.1%/複38.9%), タイキシャトル(勝11.1%/複22.2%), シンボリクリスエス(勝11.8%/複29.4%), ジャングルポケット(勝13.3%/複26.7%), クロフネ(勝4.8%/複19.0%), スペシャルウィーク(勝5.3%/複21.1%)",500m+延長(勝0.0%/複8.3%) / 300m-400m延長(勝3.7%/複17.3%) / 100m-200m延長(勝13.8%/複30.8%) / 距離同距離(勝10.7%/複29.8%) / 100m-200m短縮(勝6.8%/複24.1%) / 300m-400m短縮(勝10.3%/複23.4%) / 500m+短縮(勝3.0%/複22.7%),ダ→芝(勝1.8%/複7.3%),昇級(勝14.8%/複32.8%) / 降級(勝17.9%/複50.0%)
札幌競馬場,逃げ先行馬が有利。差し馬の場合は捲る能力のある馬に注意。,緩いコーナーで長くスピードを持続する洋芝コース。欧州的な持続力と体力が求められる。Cコースでは、特に馬場が荒れる開催後半に外枠が有利。,クイーンSは内枠が有利。札幌2歳Sは7、8枠（外枠）が有利。Cコースでは外枠が有利。,キングカメハメハ系（ロードカナロア、リオンディーズなど）、ハービンジャー産駒、スワーヴリチャード、キタサンブラック、ゴールドシップ、トニービン系の血を持つ馬、ドゥラメンテ産駒、母父にハーツクライを持つ馬など、持続的なスピードと体力を有する血統が好走傾向にある。データ欄の注目血統を確認すること。,,,,,,,距離同距離(勝9.6%/複29.7%) / 100m-200m短縮(勝8.4%/複22.0%) / 300m-400m短縮(勝6.8%/複29.7%) / 500m+短縮(勝5.2%/複11.7%),芝→ダ(勝7.4%/複17.9%),昇級(勝8.8%/複25.3%) / 降級(勝16.7%/複16.7%)
札幌芝1800m,逃げ先行が基本有利。差し馬は直線入口付近で前のポジションを取れているかが重要。,初角まで185.1mと短く、スローペースになりやすい。コーナーが緩くペースが落ち着くため捲りやすい舞台。全周にわたってほぼ平坦。,基本的に内枠有利。ただし、馬場が荒れ始めるCコースや開催後半では外枠（特に7、8枠）が有利。,"重賞クイーンS（開催前半）は例年内枠有利の傾向が強く、札幌2歳S（開催後半）は外枠有利の傾向が目立つ。標準時計：新馬&未勝利戦1分49秒3、1,2勝クラス1分47秒8、3勝クラス以上1分47秒0。",新馬: 1:51.3 / 未勝利: 1:50.1,1勝: 1:48.8 / 2勝: 1:49.0,3勝: 1:47.5 / 重賞OP: 1:48.9,,"ドゥラメンテ(勝29.7%/複51.4%), ハービンジャー(勝11.3%/複27.4%), キズナ(勝12.8%/複30.8%), ロードカナロア(勝13.5%/複32.4%), ディープインパクト(勝16.1%/複32.3%), キングカメハメハ(勝20.0%/複25.0%), スワーヴリチャード(勝21.1%/複47.4%), リオンディーズ(勝25.0%/複43.8%), エピファネイア(勝7.1%/複28.6%), ゴールドシップ(勝7.1%/複33.3%), ハーツクライ(勝12.5%/複29.2%), キタサンブラック(勝13.0%/複43.5%), デクラレーションオブウォー(勝21.4%/複28.6%), ルーラーシップ(勝6.7%/複20.0%), ダノンバラード(勝7.4%/複40.7%), サートゥルナーリア(勝16.7%/複41.7%), スクリーンヒーロー(勝18.2%/複72.7%), ブリックスアンドモルタル(勝20.0%/複50.0%), モーリス(勝2.4%/複24.4%)","ディープインパクト(勝24.6%/複44.6%), キングカメハメハ(勝17.6%/複35.3%), ハーツクライ(勝11.8%/複52.9%), マンハッタンカフェ(勝17.4%/複34.8%), キングヘイロー(勝20.0%/複26.7%), サンデーサイレンス(勝9.5%/複14.3%), アグネスタキオン(勝10.5%/複36.8%), ダイワメジャー(勝10.5%/複21.1%), ハービンジャー(勝18.2%/複45.5%), アグネスデジタル(勝20.0%/複30.0%), ステイゴールド(勝4.3%/複21.7%), クロフネ(勝4.5%/複9.1%), ロージズインメイ(勝7.7%/複46.2%), タイキシャトル(勝9.1%/複36.4%), チチカステナンゴ(勝9.1%/複27.3%)",500m+延長(勝2.9%/複11.4%) / 300m-400m延長(勝0.0%/複14.3%) / 100m-200m延長(勝7.4%/複16.7%) / 距離同距離(勝12.4%/複33.7%) / 100m-200m短縮(勝4.2%/複23.2%) / 300m-400m短縮(勝16.7%/複16.7%) / 500m+短縮(勝11.9%/複21.4%),ダ→芝(勝4.7%/複14.1%),昇級(勝11.8%/複35.5%) / 降級(勝7.4%/複33.3%)
札幌芝2000m,1800m同様に基本逃げ先行馬有利,"初角までの距離が385.1mと長い。
全周にわたってほぼ平坦。
スピード持続が求められる。",枠の差はフラット。初角までの距離が長いため、外枠がポジションを落としにくい。,"上級条件になるとペースが引き締まりやすく、逃げ馬は過去5年1勝のみと苦戦傾向に注意。
函館芝2000mで勝ち切れなかった馬（特に前走2、3着馬）の巻き返しが多く、好走率・回収率ともに絶好調。
小回りで器用さやパワーが求められる函館とは異なり、札幌はスピード持続力が求められるため適性が異なる。",新馬: 2:05.0 / 未勝利: 2:02.3,1勝: 2:01.7 / 2勝: 2:01.7,3勝: 2:00.4 / 重賞OP: 2:00.3,,"ゴールドシップ(勝9.9%/複25.3%), ドゥラメンテ(勝13.8%/複27.6%), オルフェーヴル(勝15.4%/複34.6%), キズナ(勝9.7%/複25.8%), ハーツクライ(勝7.4%/複14.7%), モーリス(勝13.2%/複23.7%), ハービンジャー(勝4.8%/複25.0%), エピファネイア(勝6.3%/複22.2%), バゴ(勝23.5%/複29.4%), ルーラーシップ(勝7.9%/複21.1%), キタサンブラック(勝11.1%/複33.3%), ブリックスアンドモルタル(勝20.0%/複26.7%), ディープインパクト(勝3.8%/複13.5%), ロードカナロア(勝5.6%/複16.7%), キングカメハメハ(勝6.2%/複21.9%), サトノダイヤモンド(勝10.0%/複15.0%), イスラボニータ(勝10.5%/複15.8%), ラブリーデイ(勝12.5%/複25.0%)","ディープインパクト(勝9.8%/複25.5%), シンボリクリスエス(勝15.6%/複34.4%), キングカメハメハ(勝4.8%/複23.8%), ハーツクライ(勝9.1%/複29.5%), マンハッタンカフェ(勝14.3%/複21.4%), スペシャルウィーク(勝13.0%/複21.7%), ハービンジャー(勝13.6%/複22.7%), アドマイヤムーン(勝20.0%/複26.7%), クロフネ(勝5.0%/複17.5%), ステイゴールド(勝5.7%/複22.9%), サクラバクシンオー(勝11.1%/複38.9%), Galileo(勝12.5%/複18.8%), タイキシャトル(勝16.7%/複41.7%), ウォーエンブレム(勝18.2%/複27.3%), エンパイアメーカー(勝20.0%/複50.0%)",500m+延長(勝2.4%/複13.3%) / 300m-400m延長(勝3.5%/複9.7%) / 100m-200m延長(勝6.6%/複21.2%) / 距離同距離(勝9.0%/複25.5%) / 100m-200m短縮(勝8.3%/複33.3%) / 300m-400m短縮(勝9.3%/複23.3%) / 500m+短縮(勝6.7%/複17.3%),ダ→芝(勝2.3%/複7.5%),昇級(勝6.5%/複28.0%) / 降級(勝10.6%/複36.2%)
札幌芝2600m,先行馬,体力が求められる洋芝長距離コース。体力のある欧州血統の活躍が目立ち、タフな欧州の血を豊富に持つ馬が有利。,内枠 (1～3枠),キングカメハメハ系からはドゥラメンテやレイデオロ牡馬が優秀。エピファネイア産駒の長距離馬は小柄な馬が多いので、小柄な馬に注目したい。キズナ産駒やオルフェーヴル産駒にも注目。サトノクラウン産駒はタフな欧州の血を豊富に持つ中長距離型で、洋芝2600mに適性があり好調。前走函館芝2600mで上がり最速だった馬、前走東京芝2400mで2～5着だった馬にも注目。,未勝利: 2:43.8,1勝: 2:41.8 / 2勝: 2:41.8,重賞OP: 2:42.0,,"ドゥラメンテ(勝25.0%/複50.0%), ゴールドシップ(勝5.0%/複20.0%), キズナ(勝13.6%/複36.4%), ハーツクライ(勝5.4%/複24.3%), ディープインパクト(勝5.7%/複28.6%), エピファネイア(勝14.3%/複21.4%), ハービンジャー(勝2.8%/複13.9%), ルーラーシップ(勝4.2%/複8.3%), キングカメハメハ(勝6.2%/複18.8%), オルフェーヴル(勝8.3%/複33.3%), ロードカナロア(勝9.1%/複18.2%), レイデオロ(勝10.0%/複50.0%)","サンデーサイレンス(勝16.7%/複16.7%), ディープインパクト(勝3.1%/複21.9%), キングカメハメハ(勝4.2%/複8.3%), ダンスインザダーク(勝7.7%/複7.7%), ジャングルポケット(勝8.3%/複25.0%), ハーツクライ(勝9.1%/複27.3%), マンハッタンカフェ(勝9.1%/複18.2%)",500m+延長(勝5.9%/複16.8%) / 300m-400m延長(勝14.3%/複28.6%) / 100m-200m延長(勝8.5%/複33.8%) / 距離同距離(勝8.9%/複26.2%),ダ→芝(勝3.4%/複6.9%),昇級(勝8.8%/複29.7%) / 降級(勝60.0%/複100.0%)
